"Date and Time Run 1","Time (s) Run 1","Angle (rad) Run 1","Angular Speed (rad/s) Run 1","Angular Acceleration (rad/s²) Run 1","Date and Time Run 2","Time (s) Run 2","Angle (rad) Run 2","Angular Speed (rad/s) Run 2","Angular Acceleration (rad/s²) Run 2","Date and Time Run 3","Time (s) Run 3","Angle (rad) Run 3","Angular Speed (rad/s) Run 3","Angular Acceleration (rad/s²) Run 3","Date and Time Run 4","Time (s) Run 4","Angle (rad) Run 4","Angular Speed (rad/s) Run 4","Angular Acceleration (rad/s²) Run 4","Date and Time Run 5","Time (s) Run 5","Angle (rad) Run 5","Angular Speed (rad/s) Run 5","Angular Acceleration (rad/s²) Run 5","Date and Time Run 6","Time (s) Run 6","Angle (rad) Run 6","Angular Speed (rad/s) Run 6","Angular Acceleration (rad/s²) Run 6","Date and Time Run 7","Time (s) Run 7","Angle (rad) Run 7","Angular Speed (rad/s) Run 7","Angular Acceleration (rad/s²) Run 7","Date and Time Run 8","Time (s) Run 8","Angle (rad) Run 8","Angular Speed (rad/s) Run 8","Angular Acceleration (rad/s²) Run 8","Date and Time Run 9","Time (s) Run 9","Angle (rad) Run 9","Angular Speed (rad/s) Run 9","Angular Acceleration (rad/s²) Run 9","Date and Time Run 10","Time (s) Run 10","Angle (rad) Run 10","Angular Speed (rad/s) Run 10","Angular Acceleration (rad/s²) Run 10","Date and Time Run 11","Time (s) Run 11","Angle (rad) Run 11","Angular Speed (rad/s) Run 11","Angular Acceleration (rad/s²) Run 11","Date and Time Run 12","Time (s) Run 12","Angle (rad) Run 12","Angular Speed (rad/s) Run 12","Angular Acceleration (rad/s²) Run 12","Date and Time Run 13","Time (s) Run 13","Angle (rad) Run 13","Angular Speed (rad/s) Run 13","Angular Acceleration (rad/s²) Run 13","Date and Time Run 14","Time (s) Run 14","Angle (rad) Run 14","Angular Speed (rad/s) Run 14","Angular Acceleration (rad/s²) Run 14","Date and Time Run 15","Time (s) Run 15","Angle (rad) Run 15","Angular Speed (rad/s) Run 15","Angular Acceleration (rad/s²) Run 15","Date and Time Run 16","Time (s) Run 16","Angle (rad) Run 16","Angular Speed (rad/s) Run 16","Angular Acceleration (rad/s²) Run 16","Date and Time Run 17","Time (s) Run 17","Angle (rad) Run 17","Angular Speed (rad/s) Run 17","Angular Acceleration (rad/s²) Run 17","Date and Time Run 18","Time (s) Run 18","Angle (rad) Run 18","Angular Speed (rad/s) Run 18","Angular Acceleration (rad/s²) Run 18","Date and Time Run 19","Time (s) Run 19","Angle (rad) Run 19","Angular Speed (rad/s) Run 19","Angular Acceleration (rad/s²) Run 19","Date and Time Run 20","Time (s) Run 20","Angle (rad) Run 20","Angular Speed (rad/s) Run 20","Angular Acceleration (rad/s²) Run 20","Date and Time Run 21","Time (s) Run 21","Angle (rad) Run 21","Angular Speed (rad/s) Run 21","Angular Acceleration (rad/s²) Run 21","Date and Time Run 22","Time (s) Run 22","Angle (rad) Run 22","Angular Speed (rad/s) Run 22","Angular Acceleration (rad/s²) Run 22"
01/25/2022 12:38:11 pm,1.020,0.63,,,01/25/2022 12:42:41 pm,0.225,0.63,,,01/25/2022 12:45:14 pm,1.386,0.63,,,01/25/2022 12:46:35 pm,0.397,0.63,,,01/25/2022 12:47:18 pm,0.439,0.63,,,01/25/2022 12:48:02 pm,0.791,0.63,,,01/25/2022 12:48:33 pm,0.433,0.63,,,01/25/2022 12:51:05 pm,0.100,0.63,,,01/25/2022 12:51:48 pm,0.966,0.63,,,01/25/2022 12:52:29 pm,0.827,0.63,,,01/25/2022 12:53:05 pm,0.632,0.63,,,01/27/2022 09:13:08 am,0.350,0.63,,,01/27/2022 09:16:35 am,0.807,0.63,,,01/27/2022 09:17:28 am,0.277,0.63,,,01/27/2022 09:18:09 am,1.574,0.63,,,01/27/2022 09:19:15 am,0.851,0.63,,,01/27/2022 09:20:08 am,0.251,0.63,,,01/27/2022 09:25:48 am,0.819,0.63,,,01/27/2022 09:26:16 am,0.906,0.63,,,01/27/2022 09:26:42 am,0.059,0.63,,,01/27/2022 09:27:03 am,0.698,0.63,,,01/27/2022 09:27:35 am,0.082,0.63,,
01/25/2022 12:38:11 pm,1.504,,0.65,,01/25/2022 12:42:42 pm,1.484,,0.25,,01/25/2022 12:45:14 pm,1.882,,0.63,,01/25/2022 12:46:35 pm,0.826,,0.73,,01/25/2022 12:47:18 pm,0.708,,1.17,,01/25/2022 12:48:03 pm,1.019,,1.38,,01/25/2022 12:48:33 pm,0.592,,1.97,,01/25/2022 12:51:06 pm,1.152,,0.30,,01/25/2022 12:51:49 pm,1.596,,0.50,,01/25/2022 12:52:30 pm,1.382,,0.57,,01/25/2022 12:53:06 pm,1.199,,0.55,,01/27/2022 09:13:08 am,0.634,,1.10,,01/27/2022 09:16:36 am,1.554,,0.42,,01/27/2022 09:17:28 am,0.976,,0.45,,01/27/2022 09:18:10 am,2.050,,0.66,,01/27/2022 09:19:16 am,1.242,,0.81,,01/27/2022 09:20:08 am,0.635,,0.82,,01/27/2022 09:25:49 am,1.153,,0.94,,01/27/2022 09:26:17 am,1.261,,0.88,,01/27/2022 09:26:42 am,0.347,,1.09,,01/27/2022 09:27:03 am,0.948,,1.25,,01/27/2022 09:27:35 am,0.204,,2.57,
01/25/2022 12:38:11 pm,1.920,,,0.30,01/25/2022 12:42:43 pm,2.462,,,0.10,01/25/2022 12:45:15 pm,2.309,,,0.29,01/25/2022 12:46:36 pm,1.181,,,0.55,01/25/2022 12:47:18 pm,0.940,,,0.96,01/25/2022 12:48:03 pm,1.215,,,1.34,01/25/2022 12:48:33 pm,0.736,,,1.60,01/25/2022 12:51:06 pm,1.997,,,0.11,01/25/2022 12:51:50 pm,2.123,,,0.23,01/25/2022 12:52:30 pm,1.844,,,0.31,01/25/2022 12:53:06 pm,1.650,,,0.42,01/27/2022 09:13:08 am,0.892,,,0.49,01/27/2022 09:16:37 am,2.209,,,0.11,01/27/2022 09:17:29 am,1.554,,,0.21,01/27/2022 09:18:10 am,2.460,,,0.31,01/27/2022 09:19:16 am,1.580,,,0.44,01/27/2022 09:20:08 am,0.964,,,0.51,01/27/2022 09:25:49 am,1.455,,,0.38,01/27/2022 09:26:17 am,1.557,,,0.74,01/27/2022 09:26:42 am,0.587,,,1.10,01/27/2022 09:27:04 am,1.158,,,1.41,01/27/2022 09:27:35 am,0.318,,,1.70
01/25/2022 12:38:11 pm,1.987,1.26,,,01/25/2022 12:42:43 pm,2.743,1.26,,,01/25/2022 12:45:15 pm,2.379,1.26,,,01/25/2022 12:46:36 pm,1.255,1.26,,,01/25/2022 12:47:18 pm,0.978,1.26,,,01/25/2022 12:48:03 pm,1.246,1.26,,,01/25/2022 12:48:33 pm,0.751,1.26,,,01/25/2022 12:51:07 pm,2.204,1.26,,,01/25/2022 12:51:50 pm,2.226,1.26,,,01/25/2022 12:52:30 pm,1.936,1.26,,,01/25/2022 12:53:06 pm,1.765,1.26,,,01/27/2022 09:13:08 am,0.919,1.26,,,01/27/2022 09:16:37 am,2.302,1.26,,,01/27/2022 09:17:29 am,1.675,1.26,,,01/27/2022 09:18:10 am,2.526,1.26,,,01/27/2022 09:19:16 am,1.632,1.26,,,01/27/2022 09:20:09 am,1.019,1.26,,,01/27/2022 09:25:49 am,1.487,1.26,,,01/27/2022 09:26:17 am,1.616,1.26,,,01/27/2022 09:26:42 am,0.634,1.26,,,01/27/2022 09:27:04 am,1.198,1.26,,,01/27/2022 09:27:35 am,0.326,1.26,,
01/25/2022 12:38:12 pm,2.337,,0.90,,01/25/2022 12:42:44 pm,3.440,,0.45,,01/25/2022 12:45:15 pm,2.735,,0.88,,01/25/2022 12:46:36 pm,1.536,,1.12,,01/25/2022 12:47:19 pm,1.172,,1.61,,01/25/2022 12:48:03 pm,1.411,,1.91,,01/25/2022 12:48:33 pm,0.881,,2.43,,01/25/2022 12:51:07 pm,2.843,,0.49,,01/25/2022 12:51:50 pm,2.649,,0.74,,01/25/2022 12:52:31 pm,2.306,,0.85,,01/25/2022 12:53:07 pm,2.102,,0.93,,01/27/2022 09:13:09 am,1.150,,1.36,,01/27/2022 09:16:37 am,2.864,,0.56,,01/27/2022 09:17:30 am,2.132,,0.69,,01/27/2022 09:18:10 am,2.870,,0.91,,01/27/2022 09:19:16 am,1.918,,1.10,,01/27/2022 09:20:09 am,1.292,,1.15,,01/27/2022 09:25:49 am,1.756,,1.17,,01/27/2022 09:26:17 am,1.853,,1.32,,01/27/2022 09:26:42 am,0.828,,1.62,,01/27/2022 09:27:04 am,1.368,,1.85,,01/27/2022 09:27:35 am,0.433,,2.96,
01/25/2022 12:38:12 pm,2.654,,,0.33,01/25/2022 12:42:45 pm,4.061,,,0.10,01/25/2022 12:45:16 pm,3.062,,,0.26,01/25/2022 12:46:36 pm,1.786,,,0.64,01/25/2022 12:47:19 pm,1.351,,,0.91,01/25/2022 12:48:03 pm,1.562,,,1.31,01/25/2022 12:48:34 pm,1.002,,,1.43,01/25/2022 12:51:08 pm,3.416,,,0.11,01/25/2022 12:51:51 pm,3.037,,,0.19,01/25/2022 12:52:31 pm,2.638,,,0.33,01/25/2022 12:53:07 pm,2.400,,,0.46,01/27/2022 09:13:09 am,1.363,,,0.58,01/27/2022 09:16:38 am,3.380,,,0.10,01/27/2022 09:17:30 am,2.544,,,0.20,01/27/2022 09:18:11 am,3.185,,,0.30,01/27/2022 09:19:17 am,2.181,,,0.38,01/27/2022 09:20:09 am,1.540,,,0.53,01/27/2022 09:25:50 am,2.006,,,0.39,01/27/2022 09:26:18 am,2.068,,,0.73,01/27/2022 09:26:43 am,1.003,,,1.12,01/27/2022 09:27:04 am,1.522,,,1.38,01/27/2022 09:27:35 am,0.533,,,1.69
01/25/2022 12:38:12 pm,2.688,1.88,,,01/25/2022 12:42:45 pm,4.137,1.88,,,01/25/2022 12:45:16 pm,3.091,1.88,,,01/25/2022 12:46:36 pm,1.817,1.88,,,01/25/2022 12:47:19 pm,1.367,1.88,,,01/25/2022 12:48:03 pm,1.576,1.88,,,01/25/2022 12:48:34 pm,1.010,1.88,,,01/25/2022 12:51:08 pm,3.482,1.88,,,01/25/2022 12:51:51 pm,3.073,1.88,,,01/25/2022 12:52:31 pm,2.676,1.88,,,01/25/2022 12:53:07 pm,2.438,1.88,,,01/27/2022 09:13:09 am,1.381,1.88,,,01/27/2022 09:16:38 am,3.426,1.88,,,01/27/2022 09:17:30 am,2.589,1.88,,,01/27/2022 09:18:11 am,3.214,1.88,,,01/27/2022 09:19:17 am,2.203,1.88,,,01/27/2022 09:20:09 am,1.565,1.88,,,01/27/2022 09:25:50 am,2.025,1.88,,,01/27/2022 09:26:18 am,2.091,1.88,,,01/27/2022 09:26:43 am,1.022,1.88,,,01/27/2022 09:27:04 am,1.538,1.88,,,01/27/2022 09:27:35 am,0.539,1.88,,
01/25/2022 12:38:12 pm,2.971,,1.11,,01/25/2022 12:42:45 pm,4.682,,0.58,,01/25/2022 12:45:16 pm,3.390,,1.05,,01/25/2022 12:46:37 pm,2.035,,1.44,,01/25/2022 12:47:19 pm,1.529,,1.94,,01/25/2022 12:48:03 pm,1.712,,2.30,,01/25/2022 12:48:34 pm,1.123,,2.78,,01/25/2022 12:51:08 pm,3.988,,0.62,,01/25/2022 12:51:51 pm,3.426,,0.89,,01/25/2022 12:52:31 pm,2.970,,1.07,,01/25/2022 12:53:07 pm,2.699,,1.21,,01/27/2022 09:13:09 am,1.577,,1.61,,01/27/2022 09:16:38 am,3.897,,0.67,,01/27/2022 09:17:30 am,2.956,,0.86,,01/27/2022 09:18:11 am,3.499,,1.10,,01/27/2022 09:19:17 am,2.445,,1.30,,01/27/2022 09:20:09 am,1.787,,1.41,,01/27/2022 09:25:50 am,2.255,,1.36,,01/27/2022 09:26:18 am,2.283,,1.64,,01/27/2022 09:26:43 am,1.178,,2.01,,01/27/2022 09:27:04 am,1.676,,2.27,,01/27/2022 09:27:35 am,0.634,,3.30,
01/25/2022 12:38:13 pm,3.238,,,0.27,01/25/2022 12:42:46 pm,5.189,,,0.09,01/25/2022 12:45:16 pm,3.668,,,0.30,01/25/2022 12:46:37 pm,2.240,,,0.51,01/25/2022 12:47:19 pm,1.682,,,0.82,01/25/2022 12:48:03 pm,1.842,,,0.96,01/25/2022 12:48:34 pm,1.230,,,1.27,01/25/2022 12:51:09 pm,4.466,,,0.08,01/25/2022 12:51:51 pm,3.755,,,0.21,01/25/2022 12:52:32 pm,3.241,,,0.36,01/25/2022 12:53:07 pm,2.941,,,0.43,01/27/2022 09:13:09 am,1.762,,,0.53,01/27/2022 09:16:39 am,4.343,,,0.09,01/27/2022 09:17:31 am,3.300,,,0.18,01/27/2022 09:18:11 am,3.769,,,0.26,01/27/2022 09:19:17 am,2.672,,,0.39,01/27/2022 09:20:09 am,1.994,,,0.55,01/27/2022 09:25:50 am,2.473,,,0.38,01/27/2022 09:26:18 am,2.463,,,0.64,01/27/2022 09:26:43 am,1.325,,,0.94,01/27/2022 09:27:04 am,1.804,,,1.52,01/27/2022 09:27:35 am,0.726,,,1.53
01/25/2022 12:38:13 pm,3.255,2.51,,,01/25/2022 12:42:46 pm,5.226,2.51,,,01/25/2022 12:45:16 pm,3.688,2.51,,,01/25/2022 12:46:37 pm,2.254,2.51,,,01/25/2022 12:47:19 pm,1.691,2.51,,,01/25/2022 12:48:03 pm,1.849,2.51,,,01/25/2022 12:48:34 pm,1.236,2.51,,,01/25/2022 12:51:09 pm,4.495,2.51,,,01/25/2022 12:51:51 pm,3.778,2.51,,,01/25/2022 12:52:32 pm,3.263,2.51,,,01/25/2022 12:53:07 pm,2.960,2.51,,,01/27/2022 09:13:09 am,1.772,2.51,,,01/27/2022 09:16:39 am,4.368,2.51,,,01/27/2022 09:17:31 am,3.324,2.51,,,01/27/2022 09:18:11 am,3.785,2.51,,,01/27/2022 09:19:17 am,2.686,2.51,,,01/27/2022 09:20:10 am,2.010,2.51,,,01/27/2022 09:25:50 am,2.486,2.51,,,01/27/2022 09:26:18 am,2.475,2.51,,,01/27/2022 09:26:43 am,1.334,2.51,,,01/27/2022 09:27:04 am,1.815,2.51,,,01/27/2022 09:27:35 am,0.729,2.51,,
